trip_id,loc_from,searches,searches_got_estimate,searches_for_quotes,searches_got_quotes,customer_not_cancelled,driver_not_cancelled,otp_entered,end_ride
1,12.0,1,1,1,1,1,1,1,1
2,15.0,1,0,0,0,0,0,0,0
3,11.0,0,0,0,0,0,0,0,0
4,1.0,1,1,1,1,1,1,1,1
5,6.0,1,1,1,1,1,1,1,1
6,12.0,1,1,1,1,1,1,1,1
7,7.0,1,1,1,1,1,1,1,1
8,12.0,1,0,0,0,0,0,0,0
9,8.0,1,1,1,1,1,1,1,1
10,14.0,1,1,0,0,0,0,0,0
11,13.0,1,1,1,1,1,1,1,1
12,1.0,1,1,1,1,1,1,1,1
13,9.0,1,1,1,1,1,1,1,1
14,13.0,1,1,1,1,1,1,1,1
15,11.0,1,1,1,1,1,1,1,1
16,12.0,1,1,1,1,1,1,1,1
17,14.0,1,1,1,1,1,1,1,1
18,8.0,1,1,1,1,1,1,1,1
19,8.0,1,1,1,1,1,1,1,1
20,15.0,1,1,1,1,1,1,1,1
21,15.0,1,0,0,0,0,0,0,0
22,2.0,1,1,1,1,1,1,1,1
23,6.0,1,1,1,1,1,1,1,1
24,10.0,1,1,1,1,1,1,1,1
25,12.0,0,0,0,0,0,0,0,0
26,12.0,1,1,1,1,1,1,1,1
27,1.0,1,1,1,1,1,1,1,1
28,8.0,1,1,1,1,1,1,1,1
29,3.0,1,1,1,1,1,1,1,1
30,3.0,0,0,0,0,0,0,0,0
31,4.0,1,1,1,1,1,1,1,1
32,1.0,1,1,1,1,1,1,1,1
33,5.0,1,1,1,1,1,1,1,1
34,7.0,1,1,1,1,1,1,1,1
35,13.0,1,1,0,0,0,0,0,0
36,7.0,1,1,1,1,1,1,1,1
37,6.0,1,1,1,1,1,1,1,1
38,10.0,1,1,1,1,1,1,1,1
39,10.0,1,1,1,1,1,1,1,1
40,10.0,1,1,1,1,1,1,1,1
41,13.0,1,1,1,1,1,1,1,1
42,1.0,1,1,0,0,0,0,0,0
43,8.0,1,1,1,1,1,1,1,1
44,11.0,1,1,1,1,1,1,1,1
