tripid,faremethod,fare,loc_from,loc_to,driverid,custid,distance,duration
1,4,150.84,12,3,1816,2802,16.07,21
2,2,244.08,1,7,1930,2492,13.67,14
3,2,247.2,6,8,1829,2881,13.8,12
4,2,276.72,12,11,1186,3120,15.03,17
5,3,91.32,7,10,1599,3862,11.11,1
6,1,88,8,9,1917,3878,10.6,12
7,2,186.24,13,7,1757,3844,11.26,23
8,2,199.2,1,13,1946,2710,11.8,10
9,3,50.2,9,1,1860,2697,3.04,10
10,3,67.25,13,14,1232,3501,6.45,8
11,2,110.4,11,2,1975,2830,4.04,1
12,4,143.4,12,6,1696,2005,15.45,21
13,2,113.8,14,8,1985,3882,4.38,6
14,4,74.75,8,4,1157,3595,7.95,3
15,1,143.4,8,6,1057,2756,15.45,11
16,1,188.28,15,1,1087,3436,19.19,6
17,2,310.32,2,2,1491,2540,16.43,13
18,3,77.6,6,8,1832,3901,8.52,14
19,1,73.3,10,7,1347,2059,7.66,12
20,2,116.6,12,3,1641,2811,4.66,22
21,2,169.6,1,12,1121,3445,9.96,6
22,2,254.64,8,6,1854,2077,14.11,17
23,2,176,3,3,1105,3395,10.6,2
24,2,211.68,4,2,1428,2937,12.32,15
25,4,57.15,1,6,1742,3710,4.43,13
26,1,55.2,5,2,1771,3948,4.04,11
27,2,93.6,7,6,1895,2818,2.36,9
28,2,178.3,7,8,1591,3879,10.83,21
29,3,49.5,6,7,1768,3642,2.9,10
30,2,224.64,10,4,1137,3353,12.86,5
31,2,90,10,3,1878,3093,2,6
32,2,121.2,10,6,1350,2792,5.12,12
33,2,130.3,13,7,1280,2036,6.03,21
34,4,137.52,8,3,1735,2838,14.96,7
35,4,145.2,11,6,1568,3337,15.6,16
36,3,88,8,3,1977,3879,10.6,23
37,4,48.4,2,10,1332,2758,2.68,2
38,1,93.36,9,4,1816,2716,11.28,17
39,2,318.24,5,9,1336,2258,16.76,14
40,2,192.24,8,2,1989,2840,11.51,17
41,2,304.32,9,14,1282,3933,16.18,6
42,1,78,9,13,1418,3170,8.6,18
43,2,381.6,14,9,1912,3285,19.4,23
44,4,123.6,13,12,1296,3310,13.8,6
45,2,199.92,13,11,1866,2076,11.83,20
46,1,89.15,7,10,1047,3202,10.83,20
47,1,62.9,1,13,1008,3256,5.58,11
48,2,178.3,3,8,1817,3176,10.83,6
